Aeropuerto Base,Año,Grupo Compañía,Pasajeros
A CORUÑA,2006,GRUPO IBERIA,692999
A CORUÑA,2007,GRUPO IBERIA,548946
A CORUÑA,2008,GRUPO IBERIA,506164
A CORUÑA,2009,GRUPO IBERIA,456369
A CORUÑA,2010,GRUPO IBERIA,430377
A CORUÑA,2011,GRUPO IBERIA,401449
A CORUÑA,2012,GRUPO IBERIA,424937
A CORUÑA,2013,"VUELING AIRLINES, S.A.",368798
A CORUÑA,2014,"VUELING AIRLINES, S.A.",431167
A CORUÑA,2015,"VUELING AIRLINES, S.A.",437043
A CORUÑA,2016,"VUELING AIRLINES, S.A.",448641
A CORUÑA,2017,"VUELING AIRLINES, S.A.",483564
A CORUÑA,2018,"VUELING AIRLINES, S.A.",544208
A CORUÑA,2019,"VUELING AIRLINES, S.A.",639221
A CORUÑA,2020,"VUELING AIRLINES, S.A.",192986
A CORUÑA,2021,GRUPO IBERIA,252643
A CORUÑA,2022,GRUPO IBERIA,329410
A CORUÑA,2023,AIR EUROPA,379690
A CORUÑA,2024,AIR EUROPA,416839
A CORUÑA,2025,AIR EUROPA,426617
ADOLFO SUÁREZ MADRID-BARAJAS,2006,GRUPO IBERIA,20364735
ADOLFO SUÁREZ MADRID-BARAJAS,2007,GRUPO IBERIA,24376528
ADOLFO SUÁREZ MADRID-BARAJAS,2008,GRUPO IBERIA,24445698
ADOLFO SUÁREZ MADRID-BARAJAS,2009,GRUPO IBERIA,22796620
ADOLFO SUÁREZ MADRID-BARAJAS,2010,GRUPO IBERIA,22383029
ADOLFO SUÁREZ MADRID-BARAJAS,2011,GRUPO IBERIA,20679354
ADOLFO SUÁREZ MADRID-BARAJAS,2012,GRUPO IBERIA,20135244
ADOLFO SUÁREZ MADRID-BARAJAS,2013,GRUPO IBERIA,16508305
ADOLFO SUÁREZ MADRID-BARAJAS,2014,GRUPO IBERIA,17006153
ADOLFO SUÁREZ MADRID-BARAJAS,2015,GRUPO IBERIA,19368578
ADOLFO SUÁREZ MADRID-BARAJAS,2016,GRUPO IBERIA,21000385
ADOLFO SUÁREZ MADRID-BARAJAS,2017,GRUPO IBERIA,21963389
ADOLFO SUÁREZ MADRID-BARAJAS,2018,GRUPO IBERIA,24293907
ADOLFO SUÁREZ MADRID-BARAJAS,2019,GRUPO IBERIA,26257042
ADOLFO SUÁREZ MADRID-BARAJAS,2020,GRUPO IBERIA,7978924
ADOLFO SUÁREZ MADRID-BARAJAS,2021,GRUPO IBERIA,12517993
ADOLFO SUÁREZ MADRID-BARAJAS,2022,GRUPO IBERIA,23208543
ADOLFO SUÁREZ MADRID-BARAJAS,2023,GRUPO IBERIA,27542877
ADOLFO SUÁREZ MADRID-BARAJAS,2024,GRUPO IBERIA,30016493
ADOLFO SUÁREZ MADRID-BARAJAS,2025,GRUPO IBERIA,29497933
AEROPUERTO INTL. REGIÓN MURCIA,2019,RYANAIR GROUP,627571
AEROPUERTO INTL. REGIÓN MURCIA,2020,RYANAIR GROUP,107627
AEROPUERTO INTL. REGIÓN MURCIA,2021,RYANAIR GROUP,82401
AEROPUERTO INTL. REGIÓN MURCIA,2022,RYANAIR GROUP,439263
AEROPUERTO INTL. REGIÓN MURCIA,2023,RYANAIR GROUP,488959
AEROPUERTO INTL. REGIÓN MURCIA,2024,RYANAIR GROUP,520289
AEROPUERTO INTL. REGIÓN MURCIA,2025,RYANAIR GROUP,574280
ALICANTE-ELCHE MIGUEL HDEZ.,2006,EASYJET,1455317
ALICANTE-ELCHE MIGUEL HDEZ.,2007,EASYJET,1548748
ALICANTE-ELCHE MIGUEL HDEZ.,2008,EASYJET,1725378
ALICANTE-ELCHE MIGUEL HDEZ.,2009,RYANAIR GROUP,2345687
ALICANTE-ELCHE MIGUEL HDEZ.,2010,RYANAIR GROUP,3152724
ALICANTE-ELCHE MIGUEL HDEZ.,2011,RYANAIR GROUP,3442744
ALICANTE-ELCHE MIGUEL HDEZ.,2012,RYANAIR GROUP,2349067
ALICANTE-ELCHE MIGUEL HDEZ.,2013,RYANAIR GROUP,2673107
ALICANTE-ELCHE MIGUEL HDEZ.,2014,RYANAIR GROUP,2605477
ALICANTE-ELCHE MIGUEL HDEZ.,2015,RYANAIR GROUP,2993172
ALICANTE-ELCHE MIGUEL HDEZ.,2016,RYANAIR GROUP,3595687
ALICANTE-ELCHE MIGUEL HDEZ.,2017,RYANAIR GROUP,4023810
ALICANTE-ELCHE MIGUEL HDEZ.,2018,RYANAIR GROUP,4274515
ALICANTE-ELCHE MIGUEL HDEZ.,2019,RYANAIR GROUP,4869810
ALICANTE-ELCHE MIGUEL HDEZ.,2020,RYANAIR GROUP,1441617
ALICANTE-ELCHE MIGUEL HDEZ.,2021,RYANAIR GROUP,2316781
ALICANTE-ELCHE MIGUEL HDEZ.,2022,RYANAIR GROUP,4980079
ALICANTE-ELCHE MIGUEL HDEZ.,2023,RYANAIR GROUP,6276345
ALICANTE-ELCHE MIGUEL HDEZ.,2024,RYANAIR GROUP,7472404
ALICANTE-ELCHE MIGUEL HDEZ.,2025,RYANAIR GROUP,8282028
ALMERÍA,2006,AIR NOSTRUM,315034
ALMERÍA,2007,GRUPO IBERIA,299388
ALMERÍA,2008,GRUPO IBERIA,318257
ALMERÍA,2009,GRUPO IBERIA,257356
ALMERÍA,2010,GRUPO IBERIA,269529
ALMERÍA,2011,GRUPO IBERIA,251413
ALMERÍA,2012,GRUPO IBERIA,231335
ALMERÍA,2013,GRUPO IBERIA,178079
ALMERÍA,2014,GRUPO IBERIA,165741
ALMERÍA,2015,GRUPO IBERIA,221798
ALMERÍA,2016,GRUPO IBERIA,236843
ALMERÍA,2017,GRUPO IBERIA,229650
ALMERÍA,2018,GRUPO IBERIA,260815
ALMERÍA,2019,GRUPO IBERIA,280059
ALMERÍA,2020,GRUPO IBERIA,116740
ALMERÍA,2021,GRUPO IBERIA,147264
ALMERÍA,2022,GRUPO IBERIA,223947
ALMERÍA,2023,GRUPO IBERIA,258872
ALMERÍA,2024,GRUPO IBERIA,301024
ALMERÍA,2025,GRUPO IBERIA,290430
ASTURIAS,2006,GRUPO IBERIA,694759
ASTURIAS,2007,GRUPO IBERIA,889523
ASTURIAS,2008,GRUPO IBERIA,722488
ASTURIAS,2009,GRUPO IBERIA,624491
ASTURIAS,2010,GRUPO IBERIA,522206
ASTURIAS,2011,GRUPO IBERIA,449425
ASTURIAS,2012,GRUPO IBERIA,439992
ASTURIAS,2013,GRUPO IBERIA,355998
ASTURIAS,2014,"VUELING AIRLINES, S.A.",367256
ASTURIAS,2015,GRUPO IBERIA,416847
ASTURIAS,2016,GRUPO IBERIA,527861
ASTURIAS,2017,GRUPO IBERIA,578714
ASTURIAS,2018,GRUPO IBERIA,577370
ASTURIAS,2019,"VUELING AIRLINES, S.A.",490290
ASTURIAS,2020,"VUELING AIRLINES, S.A.",170873
ASTURIAS,2021,"VUELING AIRLINES, S.A.",315937
ASTURIAS,2022,"VUELING AIRLINES, S.A.",613102
ASTURIAS,2023,"VUELING AIRLINES, S.A.",692299
ASTURIAS,2024,"VUELING AIRLINES, S.A.",696951
ASTURIAS,2025,"VOLOTEA, S.L.",753978
BADAJOZ,2006,AIR NOSTRUM,55995
BADAJOZ,2007,GRUPO IBERIA,71871
BADAJOZ,2008,GRUPO IBERIA,67615
BADAJOZ,2009,GRUPO IBERIA,64788
BADAJOZ,2010,GRUPO IBERIA,55155
BADAJOZ,2011,GRUPO IBERIA,53612
BADAJOZ,2012,"HELITT LINEAS AEREAS, S.A.",55104
BADAJOZ,2013,AIR EUROPA,24251
BADAJOZ,2014,AIR EUROPA,37743
BADAJOZ,2015,AIR EUROPA,20433
BADAJOZ,2016,GRUPO IBERIA,27857
BADAJOZ,2017,GRUPO IBERIA,46185
BADAJOZ,2018,GRUPO IBERIA,48626
BADAJOZ,2019,GRUPO IBERIA,71673
BADAJOZ,2020,GRUPO IBERIA,27506
BADAJOZ,2021,GRUPO IBERIA,33552
BADAJOZ,2022,GRUPO IBERIA,63696
BADAJOZ,2023,GRUPO IBERIA,76128
BADAJOZ,2024,GRUPO IBERIA,86414
BADAJOZ,2025,GRUPO IBERIA,86559
BARCELONA-EL PRAT J.T.,2006,GRUPO IBERIA,8986073
BARCELONA-EL PRAT J.T.,2007,GRUPO IBERIA,7478540
BARCELONA-EL PRAT J.T.,2008,"CLICKAIR, S.A.",4848846
BARCELONA-EL PRAT J.T.,2009,"VUELING AIRLINES, S.A.",4954126
BARCELONA-EL PRAT J.T.,2010,"VUELING AIRLINES, S.A.",7225066
BARCELONA-EL PRAT J.T.,2011,"VUELING AIRLINES, S.A.",7755552
BARCELONA-EL PRAT J.T.,2012,"VUELING AIRLINES, S.A.",10479551
BARCELONA-EL PRAT J.T.,2013,"VUELING AIRLINES, S.A.",12172815
BARCELONA-EL PRAT J.T.,2014,"VUELING AIRLINES, S.A.",13703747
BARCELONA-EL PRAT J.T.,2015,"VUELING AIRLINES, S.A.",14727366
BARCELONA-EL PRAT J.T.,2016,"VUELING AIRLINES, S.A.",15912014
BARCELONA-EL PRAT J.T.,2017,"VUELING AIRLINES, S.A.",17174795
BARCELONA-EL PRAT J.T.,2018,"VUELING AIRLINES, S.A.",19213134
BARCELONA-EL PRAT J.T.,2019,"VUELING AIRLINES, S.A.",20381102
BARCELONA-EL PRAT J.T.,2020,"VUELING AIRLINES, S.A.",5246874
BARCELONA-EL PRAT J.T.,2021,"VUELING AIRLINES, S.A.",8838744
BARCELONA-EL PRAT J.T.,2022,"VUELING AIRLINES, S.A.",17397063
BARCELONA-EL PRAT J.T.,2023,"VUELING AIRLINES, S.A.",20538143
BARCELONA-EL PRAT J.T.,2024,"VUELING AIRLINES, S.A.",21860243
BARCELONA-EL PRAT J.T.,2025,"VUELING AIRLINES, S.A.",22701652
BILBAO,2006,GRUPO IBERIA,1056413
BILBAO,2007,GRUPO IBERIA,1523611
BILBAO,2008,GRUPO IBERIA,1062559
BILBAO,2009,GRUPO IBERIA,893507
BILBAO,2010,"VUELING AIRLINES, S.A.",859515
BILBAO,2011,"VUELING AIRLINES, S.A.",933297
BILBAO,2012,"VUELING AIRLINES, S.A.",1238480
BILBAO,2013,"VUELING AIRLINES, S.A.",1327059
BILBAO,2014,"VUELING AIRLINES, S.A.",1454652
BILBAO,2015,"VUELING AIRLINES, S.A.",1548729
BILBAO,2016,"VUELING AIRLINES, S.A.",1615221
BILBAO,2017,"VUELING AIRLINES, S.A.",1706065
BILBAO,2018,"VUELING AIRLINES, S.A.",2091961
BILBAO,2019,"VUELING AIRLINES, S.A.",2334699
BILBAO,2020,"VUELING AIRLINES, S.A.",788486
BILBAO,2021,"VUELING AIRLINES, S.A.",1351077
BILBAO,2022,"VUELING AIRLINES, S.A.",2488815
BILBAO,2023,"VUELING AIRLINES, S.A.",3080542
BILBAO,2024,"VUELING AIRLINES, S.A.",3312043
BILBAO,2025,"VUELING AIRLINES, S.A.",3311685
EL HIERRO,2006,BINTER CANARIAS,168085
EL HIERRO,2007,BINTER CANARIAS,180898
EL HIERRO,2008,BINTER CANARIAS,191406
EL HIERRO,2009,BINTER CANARIAS,181542
EL HIERRO,2010,BINTER CANARIAS,169759
EL HIERRO,2011,BINTER CANARIAS,158667
EL HIERRO,2012,BINTER CANARIAS,140846
EL HIERRO,2013,BINTER CANARIAS,138368
EL HIERRO,2014,BINTER CANARIAS,147647
EL HIERRO,2015,BINTER CANARIAS,145676
EL HIERRO,2016,BINTER CANARIAS,155256
EL HIERRO,2017,BINTER CANARIAS,185603
EL HIERRO,2018,BINTER CANARIAS,212345
EL HIERRO,2019,BINTER CANARIAS,236402
EL HIERRO,2020,BINTER CANARIAS,166099
EL HIERRO,2021,BINTER CANARIAS,229626
EL HIERRO,2022,BINTER CANARIAS,267099
EL HIERRO,2023,BINTER CANARIAS,293269
EL HIERRO,2024,BINTER CANARIAS,312565
EL HIERRO,2025,BINTER CANARIAS,304337
FGL GRANADA-JAÉN,2006,GRUPO IBERIA,478773
FGL GRANADA-JAÉN,2007,GRUPO IBERIA,467711
FGL GRANADA-JAÉN,2008,GRUPO IBERIA,363782
FGL GRANADA-JAÉN,2009,RYANAIR GROUP,396843
FGL GRANADA-JAÉN,2010,GRUPO IBERIA,323391
FGL GRANADA-JAÉN,2011,GRUPO IBERIA,291768
FGL GRANADA-JAÉN,2012,"VUELING AIRLINES, S.A.",380004
FGL GRANADA-JAÉN,2013,"VUELING AIRLINES, S.A.",356144
FGL GRANADA-JAÉN,2014,"VUELING AIRLINES, S.A.",368702
FGL GRANADA-JAÉN,2015,"VUELING AIRLINES, S.A.",371774
FGL GRANADA-JAÉN,2016,"VUELING AIRLINES, S.A.",381788
FGL GRANADA-JAÉN,2017,"VUELING AIRLINES, S.A.",456277
FGL GRANADA-JAÉN,2018,"VUELING AIRLINES, S.A.",646865
FGL GRANADA-JAÉN,2019,"VUELING AIRLINES, S.A.",712419
FGL GRANADA-JAÉN,2020,"VUELING AIRLINES, S.A.",223205
FGL GRANADA-JAÉN,2021,"VUELING AIRLINES, S.A.",338463
FGL GRANADA-JAÉN,2022,"VUELING AIRLINES, S.A.",669769
FGL GRANADA-JAÉN,2023,"VUELING AIRLINES, S.A.",719880
FGL GRANADA-JAÉN,2024,"VUELING AIRLINES, S.A.",762857
FGL GRANADA-JAÉN,2025,"VUELING AIRLINES, S.A.",738159
FUERTEVENTURA,2006,THOMAS COOK AIRLINES,678014
FUERTEVENTURA,2007,BINTER CANARIAS,668417
FUERTEVENTURA,2008,THOMAS COOK AIRLINES,771799
FUERTEVENTURA,2009,THOMAS COOK AIRLINES,701956
FUERTEVENTURA,2010,THOMAS COOK AIRLINES,734796
FUERTEVENTURA,2011,THOMAS COOK AIRLINES,847556
FUERTEVENTURA,2012,THOMAS COOK AIRLINES,805472
FUERTEVENTURA,2013,THOMAS COOK AIRLINES,750322
FUERTEVENTURA,2014,THOMAS COOK AIRLINES,775963
FUERTEVENTURA,2015,THOMAS COOK AIRLINES,777943
FUERTEVENTURA,2016,TUI GROUP,952297
FUERTEVENTURA,2017,TUI GROUP,950830
FUERTEVENTURA,2018,TUI GROUP,894300
FUERTEVENTURA,2019,RYANAIR GROUP,874021
FUERTEVENTURA,2020,BINTER CANARIAS,456568
FUERTEVENTURA,2021,BINTER CANARIAS,627601
FUERTEVENTURA,2022,RYANAIR GROUP,1040115
FUERTEVENTURA,2023,RYANAIR GROUP,1154887
FUERTEVENTURA,2024,RYANAIR GROUP,1125585
FUERTEVENTURA,2025,RYANAIR GROUP,1213976
GIRONA-COSTA BRAVA,2006,RYANAIR GROUP,3116305
GIRONA-COSTA BRAVA,2007,RYANAIR GROUP,4260702
GIRONA-COSTA BRAVA,2008,RYANAIR GROUP,5033317
GIRONA-COSTA BRAVA,2009,RYANAIR GROUP,5045480
GIRONA-COSTA BRAVA,2010,RYANAIR GROUP,4615164
GIRONA-COSTA BRAVA,2011,RYANAIR GROUP,2734815
GIRONA-COSTA BRAVA,2012,RYANAIR GROUP,2594397
GIRONA-COSTA BRAVA,2013,RYANAIR GROUP,2474201
GIRONA-COSTA BRAVA,2014,RYANAIR GROUP,1905685
GIRONA-COSTA BRAVA,2015,RYANAIR GROUP,1566290
GIRONA-COSTA BRAVA,2016,RYANAIR GROUP,1335023
GIRONA-COSTA BRAVA,2017,RYANAIR GROUP,1443927
GIRONA-COSTA BRAVA,2018,RYANAIR GROUP,1467526
GIRONA-COSTA BRAVA,2019,RYANAIR GROUP,1401702
GIRONA-COSTA BRAVA,2020,RYANAIR GROUP,124635
GIRONA-COSTA BRAVA,2021,RYANAIR GROUP,230211
GIRONA-COSTA BRAVA,2022,RYANAIR GROUP,1032752
GIRONA-COSTA BRAVA,2023,RYANAIR GROUP,1261466
GIRONA-COSTA BRAVA,2024,RYANAIR GROUP,1634827
GIRONA-COSTA BRAVA,2025,RYANAIR GROUP,1776199
GRAN CANARIA,2006,BINTER CANARIAS,1989910
GRAN CANARIA,2007,BINTER CANARIAS,2014850
GRAN CANARIA,2008,BINTER CANARIAS,1897235
GRAN CANARIA,2009,BINTER CANARIAS,1695613
GRAN CANARIA,2010,BINTER CANARIAS,1609095
GRAN CANARIA,2011,BINTER CANARIAS,1649548
GRAN CANARIA,2012,BINTER CANARIAS,1530722
GRAN CANARIA,2013,BINTER CANARIAS,1563127
GRAN CANARIA,2014,BINTER CANARIAS,1617865
GRAN CANARIA,2015,BINTER CANARIAS,1692398
GRAN CANARIA,2016,BINTER CANARIAS,1704706
GRAN CANARIA,2017,BINTER CANARIAS,1982278
GRAN CANARIA,2018,BINTER CANARIAS,2246837
GRAN CANARIA,2019,BINTER CANARIAS,2419670
GRAN CANARIA,2020,BINTER CANARIAS,1367792
GRAN CANARIA,2021,BINTER CANARIAS,1937469
GRAN CANARIA,2022,BINTER CANARIAS,2733027
GRAN CANARIA,2023,BINTER CANARIAS,3070617
GRAN CANARIA,2024,BINTER CANARIAS,3431893
GRAN CANARIA,2025,BINTER CANARIAS,3712011
IBIZA,2006,SPANAIR,475585
IBIZA,2007,GRUPO IBERIA,836020
IBIZA,2008,GRUPO IBERIA,593317
IBIZA,2009,GRUPO IBERIA,528356
IBIZA,2010,"VUELING AIRLINES, S.A.",712813
IBIZA,2011,RYANAIR GROUP,1121508
IBIZA,2012,RYANAIR GROUP,1324497
IBIZA,2013,RYANAIR GROUP,1322843
IBIZA,2014,RYANAIR GROUP,1398652
IBIZA,2015,RYANAIR GROUP,1428989
IBIZA,2016,RYANAIR GROUP,1833066
IBIZA,2017,RYANAIR GROUP,1890285
IBIZA,2018,RYANAIR GROUP,1964936
IBIZA,2019,RYANAIR GROUP,1999332
IBIZA,2020,"VUELING AIRLINES, S.A.",538901
IBIZA,2021,RYANAIR GROUP,1133501
IBIZA,2022,RYANAIR GROUP,1953430
IBIZA,2023,RYANAIR GROUP,2236399
IBIZA,2024,RYANAIR GROUP,2237842
IBIZA,2025,RYANAIR GROUP,2334050
JEREZ DE LA FRONTERA,2006,GRUPO IBERIA,384648
JEREZ DE LA FRONTERA,2007,GRUPO IBERIA,399102
JEREZ DE LA FRONTERA,2008,GRUPO IBERIA,380542
JEREZ DE LA FRONTERA,2009,GRUPO IBERIA,346418
JEREZ DE LA FRONTERA,2010,GRUPO IBERIA,351999
JEREZ DE LA FRONTERA,2011,GRUPO IBERIA,344260
JEREZ DE LA FRONTERA,2012,GRUPO IBERIA,305076
JEREZ DE LA FRONTERA,2013,GRUPO IBERIA,193852
JEREZ DE LA FRONTERA,2014,GRUPO IBERIA,187032
JEREZ DE LA FRONTERA,2015,GRUPO IBERIA,215717
JEREZ DE LA FRONTERA,2016,GRUPO IBERIA,229326
JEREZ DE LA FRONTERA,2017,GRUPO IBERIA,274284
JEREZ DE LA FRONTERA,2018,GRUPO IBERIA,293003
JEREZ DE LA FRONTERA,2019,GRUPO IBERIA,309727
JEREZ DE LA FRONTERA,2020,GRUPO IBERIA,82428
JEREZ DE LA FRONTERA,2021,GRUPO IBERIA,125978
JEREZ DE LA FRONTERA,2022,"VUELING AIRLINES, S.A.",197485
JEREZ DE LA FRONTERA,2023,GRUPO IBERIA,243035
JEREZ DE LA FRONTERA,2024,GRUPO IBERIA,210489
JEREZ DE LA FRONTERA,2025,"VUELING AIRLINES, S.A.",202579
LA GOMERA,2006,BINTER CANARIAS,37389
LA GOMERA,2007,BINTER CANARIAS,39918
LA GOMERA,2008,BINTER CANARIAS,40905
LA GOMERA,2009,BINTER CANARIAS,34071
LA GOMERA,2010,BINTER CANARIAS,31925
LA GOMERA,2011,BINTER CANARIAS,31908
LA GOMERA,2012,BINTER CANARIAS,16950
LA GOMERA,2013,BINTER CANARIAS,24007
LA GOMERA,2014,BINTER CANARIAS,28487
LA GOMERA,2015,BINTER CANARIAS,34491
LA GOMERA,2016,BINTER CANARIAS,37643
LA GOMERA,2017,BINTER CANARIAS,48335
LA GOMERA,2018,BINTER CANARIAS,61626
LA GOMERA,2019,BINTER CANARIAS,77405
LA GOMERA,2020,BINTER CANARIAS,55762
LA GOMERA,2021,BINTER CANARIAS,81423
LA GOMERA,2022,BINTER CANARIAS,95019
LA GOMERA,2023,BINTER CANARIAS,113115
LA GOMERA,2024,BINTER CANARIAS,120486
LA GOMERA,2025,BINTER CANARIAS,128170
LA PALMA,2006,BINTER CANARIAS,548425
LA PALMA,2007,BINTER CANARIAS,579194
LA PALMA,2008,BINTER CANARIAS,541893
LA PALMA,2009,BINTER CANARIAS,497305
LA PALMA,2010,BINTER CANARIAS,479175
LA PALMA,2011,BINTER CANARIAS,494679
LA PALMA,2012,BINTER CANARIAS,477717
LA PALMA,2013,BINTER CANARIAS,523008
LA PALMA,2014,BINTER CANARIAS,510022
LA PALMA,2015,BINTER CANARIAS,497283
LA PALMA,2016,BINTER CANARIAS,508563
LA PALMA,2017,BINTER CANARIAS,597521
LA PALMA,2018,BINTER CANARIAS,668971
LA PALMA,2019,BINTER CANARIAS,745861
LA PALMA,2020,BINTER CANARIAS,430914
LA PALMA,2021,BINTER CANARIAS,493588
LA PALMA,2022,BINTER CANARIAS,765121
LA PALMA,2023,BINTER CANARIAS,871347
LA PALMA,2024,BINTER CANARIAS,901971
LA PALMA,2025,BINTER CANARIAS,938239
LANZAROTE CÉSAR MANRIQUE,2006,BINTER CANARIAS,846596
LANZAROTE CÉSAR MANRIQUE,2007,BINTER CANARIAS,795899
LANZAROTE CÉSAR MANRIQUE,2008,BINTER CANARIAS,740070
LANZAROTE CÉSAR MANRIQUE,2009,BINTER CANARIAS,706220
LANZAROTE CÉSAR MANRIQUE,2010,BINTER CANARIAS,664458
LANZAROTE CÉSAR MANRIQUE,2011,RYANAIR GROUP,1044679
LANZAROTE CÉSAR MANRIQUE,2012,RYANAIR GROUP,1071945
LANZAROTE CÉSAR MANRIQUE,2013,RYANAIR GROUP,1083335
